ID,LINK DOCUMENTI ESTRATTI
1,
2,https://www.agenziaentrate.gov.it/portale/documents/20143/8413104/Risoluzione+n.+45_2025.pdf/aadaefeb-70ad-0bc1-50a5-44d49897eb4e?t=1751291519908 
3, https://www.agenziaentrate.gov.it/portale/documents/20143/9256977/Risposta+n.+204_2025.pdf/4db6dde7-1f0a-5cd6-20cf-ae10ea04c1e0?t=1754480189861
4,"https://www.agenziaentrate.gov.it/portale/documents/20143/5329166/Circolare+n.+17+guida+2023+terza+parte+26.06.23.pdf/c04a174f-084c-5ed0-fe8d-b1d0bdbc333b?t=1687799895977#page=139
https://www.agenziaentrate.gov.it/portale/documents/20143/5329166/Circolare+n.+17+guida+2023+terza+parte+26.06.23.pdf/c04a174f-084c-5ed0-fe8d-b1d0bdbc333b?t=1687799895977#page=184
https://www.agenziaentrate.gov.it/portale/documents/20143/297902/Circolare+7+04042017_CIRCOLARE+7_E+DEL+4+APRILE+2017.pdf/d2ed5c82-1c2b-c3e6-8eb3-8f67b33dc17a?t=1491329101020#page=204"
5,"https://www.agenziaentrate.gov.it/portale/documents/20143/6458344/Risposta+n.+208_2024.pdf/926bc347-8474-2da1-22a3-11da0b564584?t=1729673324520
https://www.agenziaentrate.gov.it/portale/documents/20143/6193294/Circolare+plusvalenze+superbonus+n.+13+del+13+giugno+2024_.pdf/6aea10c1-d402-3204-eb3e-b8a64422a43d?t=1718289879388
https://www.agenziaentrate.gov.it/portale/documents/20143/8987735/Risposta+n.+137_2025.pdf/62dea7e5-f567-fe0f-8c2f-5cafebd5030f?t=1747729469695"
6,"https://www.agenziaentrate.gov.it/portale/documents/20143/8902784/Risposta+n.+102_2025.pdf/032a23cc-b9ac-575a-24c1-3815c48ba922?t=1744708431002
https://www.agenziaentrate.gov.it/portale/documents/20143/8405054/Circolare_n_9_del_24_06_2025.pdf/e3b753cc-8aab-87da-6718-47ae17b21556?t=1750758989811
https://www.agenziaentrate.gov.it/portale/documents/20143/6581873/Risposta+n.+247_2024.pdf/ca655376-cbd3-a9a2-d7cf-a791d8e99265?t=1733481855807"
7,"https://www.agenziaentrate.gov.it/portale/documents/20143/6390995/Circolare+CPB_17092024.pdf/79992204-e5b6-6977-e9bc-fb5f7c5894e9?t=1726592486529
https://www.agenziaentrate.gov.it/portale/documents/20143/8405054/Circolare_n_9_del_24_06_2025.pdf/e3b753cc-8aab-87da-6718-47ae17b21556?t=1750758989811
https://www.agenziaentrate.gov.it/portale/documents/20143/6581873/Risposta+n.+247_2024.pdf/ca655376-cbd3-a9a2-d7cf-a791d8e99265?t=1733481855807"
8,"https://www.agenziaentrate.gov.it/portale/documents/20143/298679/Circolare+n+6E+del+19+febbraio+2015_CIRCOLARE%2BVIDEOFORUM%2BIO-TELEFISCO24ORE-FORUMLAVORO%2B2015%2BCONDIVISA%2B18%2BFEB%2B2015.pdf/76765d30-5bb4-b055-d1ce-7759866568ff?t=1455204712795#page=37
https://www.agenziaentrate.gov.it/portale/documents/20143/298679/Circolare+n+6E+del+19+febbraio+2015_CIRCOLARE%2BVIDEOFORUM%2BIO-TELEFISCO24ORE-FORUMLAVORO%2B2015%2BCONDIVISA%2B18%2BFEB%2B2015.pdf/76765d30-5bb4-b055-d1ce-7759866568ff?t=1455204712795#page=36
https://www.agenziaentrate.gov.it/portale/documents/20143/298679/Circolare+n+6E+del+19+febbraio+2015_CIRCOLARE%2BVIDEOFORUM%2BIO-TELEFISCO24ORE-FORUMLAVORO%2B2015%2BCONDIVISA%2B18%2BFEB%2B2015.pdf/76765d30-5bb4-b055-d1ce-7759866568ff?t=1455204712795#page=35"
9,
10,https://www.agenziaentrate.gov.it/portale/documents/20143/301094/Circolare+8+del+31+01+2008_circolare+8E+del+31+gen+2008.pdf/35b70934-bb7f-0fe9-f1f1-1183d1fccd1d?t=1201861492110#page=44 
11,"https://www.agenziaentrate.gov.it/portale/documents/20143/3844145/Risposta_676_07.10.2021.pdf/4f2b42e2-bc55-b87a-aec0-30d02e8d0363?t=1633598095306
https://www.agenziaentrate.gov.it/portale/documents/20143/298189/Circolare+n.+27E+del+13+giugno+2016_Circolare+n_27_E+del+13+giugno+2016.pdf/f7438f13-603e-6a1b-d8d8-e9f0afe34698?t=1465826876979#page=13"
